name,day,month,year,time of year,rating,comment,detailedReview
sailusha,7,November,2019,November 2019,5,Too good,Superb worth for money and fast delivery also satisfied
Anjum,9,November,2019,November 2019,5,Awesome for health,Value for money
Bhavika,11,November,2019,November 2019,3,good taste,good
Meghana,11,November,2019,November 2019,5,Tasty,Taste is good
Amazon Customer,11,November,2019,November 2019,1,Do not buy,Do not buy
Sarthak,13,November,2019,November 2019,5,Bad,It’s bad because I have ordered two packets of Kellogg’s muesli crunchy fruits and nuts but I have received only one pack I had payed money for two
Stephen Wright,13,November,2019,November 2019,5,good start to the day,Excellent
Sayantan M.,19,November,2019,November 2019,4,Ok,Ok
Gyanendra Sinha,20,November,2019,November 2019,3,Nil,Nil
Bijaya Das,20,November,2019,November 2019,5,🤩,Nice test
Mustufa,21,November,2019,November 2019,5,Good,"Nice I like

🏅"
ripul gupta,21,November,2019,November 2019,5,Very Tasty,It's yum & good for breakfast 😊👍
Amazon Customer,25,November,2019,November 2019,4,Superb,I like This dress
Amazon Customer,26,November,2019,November 2019,1,Kellogg’s packer not sealed,The packet was not sealed and the product was lying outside of the product
Swati Majumder,29,November,2019,November 2019,4,Kellogg's,Like
Kajal Mittal,2,December,2019,December 2019,5,Good in taste,Better than other products...
Needs,6,December,2019,December 2019,4,Best price offer for said product.,Value for money.
Pranay,6,December,2019,December 2019,5,Good,Good
Kiran Kumar,9,December,2019,December 2019,5,Fantastic product,Everything fantastic
Anand singh shekhawat,12,December,2019,December 2019,1,Received open packet....,Received open packet...
Alex,15,December,2019,December 2019,5,Eat fit,Good product with healthy brkfst
Amazon Customer,20,December,2019,December 2019,5,Good product,Good stuff
Milton Cliffy,21,December,2019,December 2019,5,Very good,Very good
Swagatika Mohanty,21,December,2019,December 2019,5,Tasty,Value for money
Sanjeev Soni,25,December,2019,December 2019,5,Healthy and tasty,Better than other company cereals.
Shimul D.,1,January,2020,January 2020,4,ok produect,I feel quality less than before
Amazon Customer,3,January,2020,January 2020,5,Tasty,Our daily breakfast now a days. Love the taste when mixed with milk. Actual price is Rs 300 but in Amazon pantry only Rs 250. Thank you so much for the discount.
Amazon Customer,7,January,2020,January 2020,1,Damaged product receives,Received packet in damaged condition
rohit gulyani,13,January,2020,January 2020,4,Nice,"Nice,sugar is lil high"
pradeep joshi,13,January,2020,January 2020,5,Testy breakfast,Nice quality product
Janaki Dinakar,13,January,2020,January 2020,2,Lots of cornflakes,Lots of cornflakes. Not worth buying.
ade,17,January,2020,January 2020,1,Not worth compared to market product..,No mueseli and no fruits nor much almonds... lot of difference in what you get in the market.. same price tho..
Pramod Kumar,23,January,2020,January 2020,5,For everyone.,Nutritious .
ankur,24,January,2020,January 2020,4,Nice and scrumptious!,"Have been using this for way too long, still one of the best muesli available in India."
Kiran Chavan,27,January,2020,January 2020,1,Worst taste,Did not like the taste
Rekha Mohan,29,January,2020,January 2020,5,Good,My kids like it.
Amazon Customer,31,January,2020,January 2020,5,Great Breakfast Alternative,Best for people on diet..healthy breakfast
S B,2,February,2020,February 2020,5,Fine,"Bit costly, else it's fine"
N S.,3,February,2020,February 2020,4,Tasty cereal from Kellogg's.,"Tasty breakfast cereal. A bit expensive at the MRP, however, worth it at the discounted price."
Amazon Customer,11,February,2020,February 2020,5,Good,Good
anirudh Verma,13,February,2020,February 2020,2,Duplicate product,Seems like the product is duplicate as we do not see and Berry's in the packet
Vignesh,16,February,2020,February 2020,5,Good,Good
Amazon Customer,18,February,2020,February 2020,5,Nice product for diet,Tastes awesome
Manmay Rout,18,February,2020,February 2020,4,Good,Good and healthy
Bhavya Manasa,18,February,2020,February 2020,5,Good,Flavor
Amazon Customer,24,February,2020,February 2020,1,Insects in the Muesli,There are insects in the muesli
Amazon Customer,28,February,2020,February 2020,4,V good,Good Sugar free product
Balamurugan. d,1,March,2020,March 2020,4,Good,Nothing
Adrita Biswas,1,March,2020,March 2020,5,Good,Good
Bhavanu,1,March,2020,March 2020,2,Fake muesli more cornflakes,"Compare to baggry check ingredients carefully.
Its name muesli but it has 30%+ cornflakes.
Cereal is not for taste ..this product is misleading. Compare n see for urself the amount of corn flakes muesli nuts etc.."
Babu Yelamanchili,2,March,2020,March 2020,5,Bigger is cheaper,Value for money pk
Cliente Amazon,2,March,2020,March 2020,5,Excellent,Tasty n nutty
Shalabh dhumal,2,March,2020,March 2020,5,Tasty,Good and tasty....
KINJAL THAKKAR,3,March,2020,March 2020,5,Good,Good
SV,4,March,2020,March 2020,1,Not happy,Patanjali is better. Has more dry fruits
Amazon Customer,4,March,2020,March 2020,3,Not enough fruit & nuts,"Disappointing, mostly just corn and some bran flakes, too little fruit and nuts to be called muesli!"
Aditya Agrawal,4,March,2020,March 2020,5,Overall good experience,Good packaging and good taste.
Amazon Customer,4,March,2020,March 2020,5,Healthy,Super tasty and healthy
Sanket Senapati,6,March,2020,March 2020,5,Is prroduct value for money ?? My. Ans is yes..,I love the teste. If any one have any other query you can ask me freely..
Rakesh Das,7,March,2020,March 2020,5,Good,Very tasty. Different from Normal Cornflakes.
Amazon Customer,7,March,2020,March 2020,5,Good beeakfast cereal,I always but it on sale so at that price its very amazing.
raviteja,7,March,2020,March 2020,3,Taste,Taste was not good
Suberna r.,7,March,2020,March 2020,1,Not good,Very bad
Amazon Customer,7,March,2020,March 2020,5,Good,Good
Ankit,8,March,2020,March 2020,5,Value for money,Good & Healthy
Sid,9,March,2020,March 2020,4,Tasty,Flavor
JEHAN,14,March,2020,March 2020,2,Useless product,You people could have mentioned that as corn flakes rather than saying muesli. If you want actual muesli please buy baggrys.
Gagan Mehta,19,March,2020,March 2020,4,Good,Awsome
Yvonne Furtado,14,April,2020,April 2020,4,Lots of fruit. Okay.,Some dryfruit not very fresh (but not bad).
Vijay runganadhan,4,May,2020,May 2020,4,product availability.,Should have had more raisins and dried fruit.
Sachin,6,May,2020,May 2020,5,It has sugars,IT CONTAINS SUGAR !! In capital
savitha,6,May,2020,May 2020,5,Thumbs up,Love love love this item
Pratibha Palguna,9,May,2020,May 2020,4,Nice product,It's nice and kinda unique flavour
Debojyoti C.,11,May,2020,May 2020,5,Excellent,Nice product
Gargi Sood,13,May,2020,May 2020,5,Fast Delivery,Fast delivery as expected by Amazon but not got expected discount. Every thing is fine.
Nikhil H.,14,May,2020,May 2020,5,Cost is high,"The taste is good but not as I expected
If u want a healthy breakfast go with this."
Lakshmi Santosh Tiwari,15,May,2020,May 2020,4,Healthy and Quick,good
Poojs,16,May,2020,May 2020,5,Museli,Good healthiest
b.vijayakumar,16,May,2020,May 2020,4,Value for money,Product is value for money
Angan Dey,17,May,2020,May 2020,5,Very tasty and good delivery service,This is very tasty.. you can eat it just like that.
sumanta,17,May,2020,May 2020,2,Waste of money,"Product is not that good ....no dry fruits ,not value for money."
Ranendra N.,17,May,2020,May 2020,4,Good,Good
Amazon Customer,18,May,2020,May 2020,1,The packet came open.,"The rwfill pack of 750 gm came open. Found a sharp cut of 3 inches on the opening line inside the fold as in the photo. And this item is not refundable. The thing must have been tampered before packing inside the cardboard, which was intact."
Long-term Customer,18,May,2020,May 2020,5,Excellent nutrition,Rich in fruits. Excellent taste. This is indeed a wholesome nutrition
Lily,18,May,2020,May 2020,5,well balanced,its nutritious and wholesome.
pratul,19,May,2020,May 2020,4,quantity of Muesli ?,I contains more other items than Museli . Price is also on higher side.
Tintumon :),20,May,2020,May 2020,4,Good one,Good one . Found it very tasty
Bhavesh Vaswani,20,May,2020,May 2020,5,Perfect!,Everything was perfect
MANASI J.,21,May,2020,May 2020,5,Awesome,Everybody loved it
Satya Prakash Sinha,21,May,2020,May 2020,5,Very nice experience,It's truly good
gayathri nagarajan,22,May,2020,May 2020,5,Favourite,Beautiful product
Manmohan T.,27,May,2020,May 2020,5,Good breakfast/snack,Wonderful breakfast. Quite nutritious and this pack will last for a decent while.
Shaji,27,May,2020,May 2020,4,Good product,It’s a good product
Suman Semwal,28,May,2020,May 2020,2,Fake item,Looked fake
Pampa,31,May,2020,May 2020,5,👌👌,👌👌👌👌
Raj,3,June,2020,June 2020,5,Best,Good
UNNATI KSHETRIYA,4,June,2020,June 2020,4,Must buy product 😋,Very nice product it's yummy full off nuts n fruits 🥰😋
Amazon Customer,5,June,2020,June 2020,5,Quality,Very good product. Really crunchy. But expect more but inside when it says 21% of fruit and nut.
Vishu,5,June,2020,June 2020,5,Best as always,Best as always
Pravinkumar,7,June,2020,June 2020,5,Healthy and tasty,Kellogg's is always best
Marina Mendes,7,June,2020,June 2020,5,Product is good n tasty but the packet delivered had a whole.,Packet had a whole in it.
Utkarsh B Pokharkar,8,June,2020,June 2020,5,Best for diet,Best
Sunjay Raam,10,June,2020,June 2020,5,Product Packaging Faulty Not Product Quality & Amazon Delivery,"Ordered 3 Kellogs Muesli & 1 out of 3 was open and dot spill all inside the carton. The Carton box was good, no tampering or shape out but fault with product package sealing."
Amazon Customer,10,June,2020,June 2020,4,packaging and quality of product,Like the taste and it is quite feeling . But the packaging may be improved for long storage with Zip Lock
Sara,10,June,2020,June 2020,5,As expected,Product is as expected...however a zip lock on the packet would be handy
Imran,12,June,2020,June 2020,5,My first choice for muesli.,Best !
Akash,13,June,2020,June 2020,3,Not Testy Flavor,I am big fan of Kellogg cornflacks so i thought why not try this new flavour in Museli. I ordered this but after using for a month i am writing this. Flavour is not so good. But if you are working and have less time for breakfast then you should go for this. But i still prefer normal flavour then this fruit and nut.
Dr Arpita Nibedita Rout,13,June,2020,June 2020,5,Liked it,Crunchy and tasty
rohit barnwal,13,June,2020,June 2020,2,Feeling like cornflakes with jam,"Too much fruity, it's definitely not 21% fruit & nut, while its 21% poor sweet fruit flavor,, packaging as usual not good , there should zipper packing for such items."
vini,14,June,2020,June 2020,5,Tasty healthy and crunchy,Flavour tasty packing good reasonable price
Kumar Ravi Ranjan,14,June,2020,June 2020,5,Super product from Kellogg's,Awesome breakfast
Amazon Customer,16,June,2020,June 2020,5,Value for Money,Value for money
Debolina,19,June,2020,June 2020,5,My personal favorite,The best Wholesome healthy meal! ❤
Vishnu,19,June,2020,June 2020,4,Good,As expected
dhruv,20,June,2020,June 2020,4,Tasty and crunchy,Amazon packaging and delivery is very good. This product is good in taste but a bit costlier compared with other brands.
M Ebenezer,20,June,2020,June 2020,1,Received opened pack,I have received an opened pack
Kamaljit Singh,21,June,2020,June 2020,4,All over product is good,No more less in price
Durga prasad,21,June,2020,June 2020,5,Delicious,.•♫•♬•👍•♬•♫•.
Saif,21,June,2020,June 2020,5,Value for Money nutritious product,must have for breakfast
Amazon Customer,22,June,2020,June 2020,3,Tasty but difficult to chew,"It is tasty but the dehydrated/candied fruits can be a problem. It remains hard even after leaving it to soak in milk/curd for a while.
This can be a problem for people with dental issues like tooth caps, braces and temporary fillings."
Juned Saiyad,22,June,2020,June 2020,2,Not buying again,"1. Most corn flakes are not healthy at all. They contain too much carbohydrate. Aprox 60 percent.

2.Package saying 21% fruit and seeds. But its mainly cornflakes and only little fruits and seeds.

If you want better alternative, having vetter taste, with more fruits and seeds and little less carbohydrate then try Yogabar’s Museli+"
James Deen,23,June,2020,June 2020,5,I am easily amuesli-d,"Before I bought Kellogg’s Muesli I was just a man. A regular man with no hopes or dreams. Now after buying it, I am the same. That’s why this gets maximum rating from me. Don’t be misled by advertising guys."
Puneet Soral,24,June,2020,June 2020,4,Okok,It was not very crunchy
subramanian venkatachalam,24,June,2020,June 2020,5,Classic Kellogg's Muesli,"I love muesli, good packaging and great taste as always."
Piyush D.,25,June,2020,June 2020,2,Hardly any musli,"It's just full of corn flakes and a few nuts, there is hardly any musli in there."
Sanghita samanta,28,June,2020,June 2020,4,Good one,Good one
Tushar More,28,June,2020,June 2020,1,Not Muesli....,This is not Muesli..Please stop cheating people.I lived in Australia and had ate muesli which is completely different.
Jason Mendes,28,June,2020,June 2020,5,Kellogg's Muesli,Good product. Taste good too.
Madhavi k.,29,June,2020,June 2020,5,Love it,Love the taste packing is superb
Sonu,30,June,2020,June 2020,5,Good product,Good for breakfast.
RAJ R.,30,June,2020,June 2020,5,💕Healthy breakfast 🥣,Healthy breakfast. Very good flavor. Nice packaging. Excellent taste with fruits. Value for money.
Aakash Yadav,1,July,2020,July 2020,5,Quality is as expected from Amazon..,Never received bad quality products from Amazon.. satisfied with my purchase..
Bhadra,2,July,2020,July 2020,5,"Yummy, Crunchy. Healthy.",Has added a zing to our mornings. Go for it.
Rmenon,3,July,2020,July 2020,3,Brand pricing..not worthy,More of cornflakes and less of others ... price too high for the brand
Amazon Customer,3,July,2020,July 2020,5,Good,😍
sunny saurav jamuar,4,July,2020,July 2020,5,Good breakfast,"A great way to start your day
Full of fiber and fruits
Only concern is that to reduce price company has added too much conflacks in it"
Ravina,5,July,2020,July 2020,5,Yummy 😋,Good
SIRIPURAM SAI BHARADWAJ,5,July,2020,July 2020,5,Must buy,Excellent packaging. Original product. Price less than MRP
KANHOJI,7,July,2020,July 2020,4,HAVE A DELICIOUS BREAKFAST 😋,Delicious with a very good flavor. Packaging is also good. Little bit of high price
Amazon Customer,7,July,2020,July 2020,5,Healthy Meal,"Best combination of Muesli, furits and Nuts. Great morning or evening meal, it fulfills all the body requirments"
kartika,8,July,2020,July 2020,1,"Artificial sweeter, no fruit inside. Sweet candies. 21% is misleading.",Very bad quality. INFACT this product is unheslthy and should not be consumed. There is no fruits inside. What you get is flavoured candies. Full of sugar. I would strongly discourage everyone to not buy this product. Expecially if you are thinking to eat healthy.
MD.IMDAD UDDIN,9,July,2020,July 2020,5,lovely item,lovely product
NOVEL SARAI,10,July,2020,July 2020,1,misguided description,Ok products
Sarah Mesquita,11,July,2020,July 2020,5,Happy Customer!,"So happy with the quantity! Big fan of muesli, Kellogg's does not disappoint. Thank you Amazon for making this available for me!"
S. T.,12,July,2020,July 2020,1,Will cause sugar rush.,Sugar content is way too high.
Priyanka Sarang,12,July,2020,July 2020,4,For immediate breakfast need,Nice and crunchy. Good to have with milk
Lovinda,13,July,2020,July 2020,5,Product,Good Product
Rachel Varghese,13,July,2020,July 2020,5,Tasty,Healthy and tasty
Nymphea,14,July,2020,July 2020,4,Added sugar,"Tastes fine. But for a muesli, too much sugar added."
Amazon Customer,14,July,2020,July 2020,4,Taste,It's taste not so bad if u eat with milk
Somashree Daschakraborty,15,July,2020,July 2020,5,I like the taste of the food.,Good for health.
Puneet Mishra,17,July,2020,July 2020,5,Muesli,"Lovely I prefer this daily, it taste yummy. Thanks for this flavour"
Sara,17,July,2020,July 2020,4,Muesli is expensive ... just by adding the word nuts it becomes more expensive.,The nuts were few for the price
harshit jain,17,July,2020,July 2020,1,Sealed broken,Already opened....what to do...
ARJIT GAUTAM,19,July,2020,July 2020,1,95 PERCENT CORN FLAKES😡....0 PERCENT MEUSLI😡,"HONESTLY SPEAKING, these are not real meusli but 95 percent of corn flakes. VERY DISSAPPOINTED. There are some dried form of fruits and chipped almonds but in very minimal quantity."
S K PRIYADARSHI,19,July,2020,July 2020,5,"If you like dry fruits and nuts, you can definitely go for it. Very tasty. My sons like it a lot.",Mast item for breakfast with lots of dry fruits and nuts.
Pravin Patel,19,July,2020,July 2020,5,Healty n tasty,"Good one my kids like it, best option for breakfast times"
Sunil sood,19,July,2020,July 2020,5,Good taste,Good
Pawan Jhalani,20,July,2020,July 2020,5,Breakfast,Very good flavour and best choice for breakfast
Milind Gade,20,July,2020,July 2020,3,Passable,Not my first choice since yoga bar muesli is the best product in Indian market. Somehow Amazon does not offer yoga bar muesli and only Kellogg's & Baggery's products on its platform.
Lakshmi,21,July,2020,July 2020,5,Worth buying,Good even without sugar or honey
Ravi,22,July,2020,July 2020,5,More of corn flakes,Little fruit n dry fruit content. Mire if corn flakes rather than muesli. But there is no alternate chioce
RABINDU DAS,22,July,2020,July 2020,5,Great flavor,"Recommend product, nutritious food with great flavor which consists of dry fruits and multigrain.
Packaging is great and on time delivery."
A. Uday Prakash,22,July,2020,July 2020,5,👌👌👌👌,😶😛😋😄😀😆😊
Rahul,23,July,2020,July 2020,4,Paisa vasool,It's a good product.
Nancy Modi,24,July,2020,July 2020,5,Tasty and healthy,It is little costly.. Ordered for parents.
balakrishna,25,July,2020,July 2020,5,Superb,Superb
Aditi,26,July,2020,July 2020,1,Received bad food packet,"Weird pink coloration found in the food..normally this is not there.
Either it's stail food packet or expired."
Akhil,26,July,2020,July 2020,5,Excellent!,Excellent!
Ratna srivastava,26,July,2020,July 2020,4,Good,Good
preeti jha,27,July,2020,July 2020,5,tasty,Nice
Hazel j,29,July,2020,July 2020,5,Buy it,Very good! Goes perfectly well with honey.
Saikat Mandal,29,July,2020,July 2020,5,Good,Nice Product
T RAJA SEKHAR,29,July,2020,July 2020,4,Tasty,Good
Amazon Customer,1,August,2020,August 2020,5,Kellogg's cereals quality product,Value for money
Arti Gardas,4,August,2020,August 2020,5,I love this muesli ... Good taste,I love this muesli ... Good taste
Amrita Das,4,August,2020,August 2020,5,Healthy breakfast,Good product
Online product Reviewer,6,August,2020,August 2020,5,Tasty than regular cornflakes,Taste is better than regular cornflakes as its contain fruits & nuts ( actually not too much fruits & nuts !but substitute ) still its ok..
Sneha,6,August,2020,August 2020,5,Superb!,Value for money. And received package early then given date
Mahuya Mondal,7,August,2020,August 2020,5,Good,Good
B padhihari,7,August,2020,August 2020,4,Good product.,Likes it.
Amol Prakash Nikumbhe,9,August,2020,August 2020,5,Hard Rock,I want more 😘😘😘
Eabison,10,August,2020,August 2020,5,Customer,Yummy to eat. Just drop it in a bowl of milk and deliciously have it. Children just love it. Good fiber diet. Easy on the stomach and have appropriate nutritional value. No sugar needed.
ishwar singh,10,August,2020,August 2020,5,Good,Good
Dheeraj Kaul,10,August,2020,August 2020,1,Damaged product delivered with smelly product,Its packing is damaged and contents are emanating fowl smell. Need its replacement on urgent basis.
Shubhadeep Musib,12,August,2020,August 2020,3,Healthy but Not so good ( quality and composition wise ),"Cornflakes quantity is maximum ( it's not desirable in muesli).
Overall satisfaction : Not so good

Please note below points:
1. Cornflakes quantity is maximum
2. Dry fruits quantity is minimum
3. Dry fruits size is also small"
Samita Bhattacharya,12,August,2020,August 2020,5,Nutritious,Good taste and is wholesome with fruits n nuts
Saddam,13,August,2020,August 2020,5,Very good taste,Good and thanks amozon pantry
Nirbhay,14,August,2020,August 2020,5,Tasty and crunchy,"Value for money.
Packaging was excellent.
Easy to use.
Flavour is good.
Taste is excellent"
Tulika Raj,15,August,2020,August 2020,1,Worst ever shopping from amazon,"It says 21% fruits and nuts, i cant find even 2%. May be 21% were had the fruits were not dehydrated... sad part...cant even return... no taste, no flavour even."
Bharti,15,August,2020,August 2020,3,Good,It is good enough for breakfast.
siddhant jain,16,August,2020,August 2020,1,Item replaced,"Raisins is there..no nuts n no cherrys..
Appearance also mix.. not propr cutting!"
Syed Mohd Mohtashim,16,August,2020,August 2020,5,Go for it,Delicious
Amazon Customer,17,August,2020,August 2020,4,Good,Good
Rushi kankhare,17,August,2020,August 2020,5,Nice,Nice
ss,18,August,2020,August 2020,4,Item is good but seal was broken,Item is good but seal was broken
Tushar Jadhav,18,August,2020,August 2020,3,Not good taste,Not tasty at all .comes tooty fruity in every bytes which is very annoying.
raji,18,August,2020,August 2020,5,Nice,Value for money and nicely packed
Krstysj,18,August,2020,August 2020,5,Good healthy mix,It is good and heavy with a glass of milk
Shivam Prakash,18,August,2020,August 2020,5,Must include in diet,Flavour and texture is good
Gaddam pulla rao,19,August,2020,August 2020,5,Great breakfast with great taste,This product healthy treat of breakfast and give a great breakfast packed with vitamins and minerals and antioxidants sources of fruits and nuts with goodnes of five grains given you bunch of energy in morning.it comes with great packaging.🤩 tastes better with cold milk.
Amazon Customer,19,August,2020,August 2020,4,Disappointed,I got damage product and also taken delivery charges more
Rahul,19,August,2020,August 2020,5,Best service,Delivery and packaging is tooo good....beyond expectations....i really appreciate...tq
Kindle Customer,19,August,2020,August 2020,4,Worth it,Good product
Bhaskar Prasad,21,August,2020,August 2020,5,Tasty and crispy muesli,"I liked the taste and crispness, particularly that of added fruit pieces. Moreover it is at low cost."
Poojha,21,August,2020,August 2020,5,Go for it,Worth every penny ..perfectly packed..update mfg date n no spills ..the name kellogs says it all..
Sapth,23,August,2020,August 2020,1,Worst packaging ever...,Product is good but the product was sent with out any packaging
Akash Gupta,23,August,2020,August 2020,3,Okay okay,The favour was very bland. Packaging was okay but very rough texture. It seems nutritious because dry fruits are present but they should work on flavour. Can't comment on value for money
liza,24,August,2020,August 2020,5,Taste of fruits is great,"Very good taste of fruit, go for it"
Vibishika,24,August,2020,August 2020,5,good,"Package and delivery good. No damage.

Tastes good. Good breakfast option"
Pranav,25,August,2020,August 2020,5,Good taste,👍👍👍
Sudhanshu Gupta,25,August,2020,August 2020,5,Niceproduct,Packaging isgoodand taste is amazing
Isheeta,26,August,2020,August 2020,5,Dried fruits are awesome!,loved it !! Great taste and the dried fruits add up!!
Sagar Pradeep,27,August,2020,August 2020,4,Good one,Good one if you like Muesli. Needed some extra fruits for me.
dg_kumararaja,27,August,2020,August 2020,5,Nice one,Nice one
Akash Dhal,28,August,2020,August 2020,5,Very good...,"Flavor, packaging....five star..."
Saswati Mandal,29,August,2020,August 2020,5,Delicious,My mom loves it !
Anchal kumari,30,August,2020,August 2020,5,Good,It's very good
Amazon Customer,1,September,2020,September 2020,5,thanks amazon,very tasty and healthy breakfast
Joel,1,September,2020,September 2020,5,Ossum,Very good and excellent.no words
Arti,2,September,2020,September 2020,5,Product,Good
Indulekha Hazra,2,September,2020,September 2020,5,Nice,Love it!
Sai Charan,2,September,2020,September 2020,1,Double bar code reason,Y double bar coding...
Ranjana Sharma,3,September,2020,September 2020,1,pathetic,Full with corn flakes. Hardly any muesli. Pathetic
Hannah,3,September,2020,September 2020,5,So good 💯,Totally worth the purchase
Alok nigam,5,September,2020,September 2020,5,Nice packaging,It's nice how I saw I got that only its taste also nice and its have almonds kismis and some red colour sweet thing and corn flakes and and one more thing also
Nivedita MK,6,September,2020,September 2020,5,Favorite,Loved it
G.Prem,6,September,2020,September 2020,5,Quickly buy it,100rs discount.
HOPEDWELL,6,September,2020,September 2020,5,Good,Good
Sunaina,7,September,2020,September 2020,5,satisfied,Already half way through...... so delicious
Mamta jani,7,September,2020,September 2020,5,muesli,so yummy n healthy but I received my parcel opened this time .. m always love to shopping with amazon ✨amazing service ✨
M.Shailaja,7,September,2020,September 2020,3,ok,"flvour, packaging was good, but it was broken into a very small pieces"
SRay,8,September,2020,September 2020,4,"Good product, but...","Good product, but expensive."
Anindita C.,9,September,2020,September 2020,4,Good,Happy... 😁
Amazon Customer,10,September,2020,September 2020,5,good quick breakfast,"sometimes in hurry, good quick option to eat. Provided you are not all time spicy lover."
Tanya,10,September,2020,September 2020,5,Best museli,Amazing product. Fresh and crispy museli. Must buy
Faheem.F,10,September,2020,September 2020,4,Good,Good
RAMA GOPAL,10,September,2020,September 2020,4,Tasted,Very Tasty 😋 product
Ram,11,September,2020,September 2020,2,Not worth,"Not that great product. I personally feel that it's not worth the money.

Amazon Delivery is fine.

21% fruit and nut is a epic marketing strategy."
Irfan,12,September,2020,September 2020,2,So much sugar,"In 1 bowl of muesli, I got this much flavoured sugar chunks so called fruit in fruit muesli.
If we are consuming this for health there's no meaning of adding this much sugar.
Better buy sugar free muesli."
